1,"""amazing""","""POSITIVE"""
2,"""good""","""POSITIVE"""
3,"""excellent""","""POSITIVE"""
4,"""marvelous""","""POSITIVE"""
5,"""astonishing""","""POSITIVE"""
6,"""perfect""","""POSITIVE"""
7,"""plentiful""","""POSITIVE"""
8,"""accessible""","""POSITIVE"""
9,"""attractive""","""POSITIVE"""
10,"""fast""","""POSITIVE"""
11,"""poor""","""NEGATIVE"""
12,"""unamazing""","""NEGATIVE"""
13,"""worthless""","""NEGATIVE"""
14,"""credible""","""NEGATIVE"""
15,"""imperfect""","""NEGATIVE"""
16,"""insufficient""","""NEGATIVE"""
17,"""inaccessible""","""NEGATIVE"""
18,"""ugly""","""NEGATIVE"""
19,"""slow""","""NEGATIVE"""
20,"""love""","""POSITIVE"""
21,"""like""","""POSITIVE"""
22,"""enjoy""","""POSITIVE"""
23,"""rock""","""POSITIVE"""
24,"""great""","""POSITIVE"""
25,"""breeze""","""POSITIVE"""
26,"""timely""","""POSITIVE"""
27,"""affordable""","""POSITIVE"""
28,"""hate""","""NEGATIVE"""
29,"""detest""","""NEGATIVE"""
30,"""suffer""","""NEGATIVE"""
31,"""sucks""","""NEGATIVE"""
32,"""waste""","""NEGATIVE"""
33,"""horrible""","""NEGATIVE"""
34,"""untimely""","""NEGATIVE"""
35,"""costly""","""NEGATIVE"""
36,"""annoy""","""NEGATIVE"""
37,"""pain""","""NEGATIVE"""
38,"""cancel""","""NEGATIVE"""
39,"""dead""","""NEGATIVE"""
40,"""a+""","""POSITIVE"""
41,"""abound""","""POSITIVE"""
42,"""abounds""","""POSITIVE"""
43,"""abundance""","""POSITIVE"""
44,"""abundant""","""POSITIVE"""
45,"""accessable""","""POSITIVE"""
46,"""acclaim""","""POSITIVE"""
47,"""acclaimed""","""POSITIVE"""
48,"""acclamation""","""POSITIVE"""
49,"""accolade""","""POSITIVE"""
50,"""accolades""","""POSITIVE"""
51,"""accommodative""","""POSITIVE"""
52,"""accomodative""","""POSITIVE"""
53,"""accomplish""","""POSITIVE"""
54,"""accomplished""","""POSITIVE"""
55,"""accomplishment""","""POSITIVE"""
56,"""accomplishments""","""POSITIVE"""
57,"""accurate""","""POSITIVE"""
58,"""accurately""","""POSITIVE"""
59,"""achievable""","""POSITIVE"""
60,"""achievement""","""POSITIVE"""
61,"""achievements""","""POSITIVE"""
62,"""achievible""","""POSITIVE"""
63,"""acumen""","""POSITIVE"""
64,"""adaptable""","""POSITIVE"""
65,"""adaptive""","""POSITIVE"""
66,"""adequate""","""POSITIVE"""
67,"""adjustable""","""POSITIVE"""
68,"""admirable""","""POSITIVE"""
69,"""admirably""","""POSITIVE"""
70,"""admiration""","""POSITIVE"""
71,"""admire""","""POSITIVE"""
72,"""admirer""","""POSITIVE"""
73,"""admiring""","""POSITIVE"""
74,"""admiringly""","""POSITIVE"""
75,"""adorable""","""POSITIVE"""
76,"""adore""","""POSITIVE"""
77,"""adored""","""POSITIVE"""
78,"""adorer""","""POSITIVE"""
79,"""adoring""","""POSITIVE"""
80,"""adoringly""","""POSITIVE"""
81,"""adroit""","""POSITIVE"""
82,"""adroitly""","""POSITIVE"""
83,"""adulate""","""POSITIVE"""
84,"""adulation""","""POSITIVE"""
85,"""adulatory""","""POSITIVE"""
86,"""advanced""","""POSITIVE"""
87,"""advantage""","""POSITIVE"""
88,"""advantageous""","""POSITIVE"""
89,"""advantageously""","""POSITIVE"""
90,"""advantages""","""POSITIVE"""
91,"""adventuresome""","""POSITIVE"""
92,"""adventurous""","""POSITIVE"""
93,"""advocate""","""POSITIVE"""
94,"""advocated""","""POSITIVE"""
95,"""advocates""","""POSITIVE"""
96,"""affability""","""POSITIVE"""
97,"""affable""","""POSITIVE"""
98,"""affably""","""POSITIVE"""
99,"""affectation""","""POSITIVE"""
100,"""affection""","""POSITIVE"""
101,"""affectionate""","""POSITIVE"""
102,"""affinity""","""POSITIVE"""
103,"""affirm""","""POSITIVE"""
104,"""affirmation""","""POSITIVE"""
105,"""affirmative""","""POSITIVE"""
106,"""affluence""","""POSITIVE"""
107,"""affluent""","""POSITIVE"""
108,"""afford""","""POSITIVE"""
109,"""affordably""","""POSITIVE"""
110,"""afordable""","""POSITIVE"""
111,"""agile""","""POSITIVE"""
112,"""agilely""","""POSITIVE"""
113,"""agility""","""POSITIVE"""
114,"""agreeable""","""POSITIVE"""
115,"""agreeableness""","""POSITIVE"""
116,"""agreeably""","""POSITIVE"""
117,"""all-around""","""POSITIVE"""
118,"""alluring""","""POSITIVE"""
119,"""alluringly""","""POSITIVE"""
120,"""altruistic""","""POSITIVE"""
121,"""altruistically""","""POSITIVE"""
122,"""amaze""","""POSITIVE"""
123,"""amazed""","""POSITIVE"""
124,"""amazement""","""POSITIVE"""
125,"""amazes""","""POSITIVE"""
126,"""amazingly""","""POSITIVE"""
127,"""ambitious""","""POSITIVE"""
128,"""ambitiously""","""POSITIVE"""
129,"""ameliorate""","""POSITIVE"""
130,"""amenable""","""POSITIVE"""
131,"""amenity""","""POSITIVE"""
132,"""amiability""","""POSITIVE"""
133,"""amiabily""","""POSITIVE"""
134,"""amiable""","""POSITIVE"""
135,"""amicability""","""POSITIVE"""
136,"""amicable""","""POSITIVE"""
137,"""amicably""","""POSITIVE"""
138,"""amity""","""POSITIVE"""
139,"""ample""","""POSITIVE"""
140,"""amply""","""POSITIVE"""
141,"""amuse""","""POSITIVE"""
142,"""amusing""","""POSITIVE"""
143,"""amusingly""","""POSITIVE"""
144,"""angel""","""POSITIVE"""
145,"""angelic""","""POSITIVE"""
146,"""apotheosis""","""POSITIVE"""
147,"""appeal""","""POSITIVE"""
148,"""appealing""","""POSITIVE"""
149,"""applaud""","""POSITIVE"""
150,"""appreciable""","""POSITIVE"""
151,"""appreciate""","""POSITIVE"""
152,"""appreciated""","""POSITIVE"""
153,"""appreciates""","""POSITIVE"""
154,"""appreciative""","""POSITIVE"""
155,"""appreciatively""","""POSITIVE"""
156,"""appropriate""","""POSITIVE"""
157,"""approval""","""POSITIVE"""
158,"""approve""","""POSITIVE"""
159,"""ardent""","""POSITIVE"""
160,"""ardently""","""POSITIVE"""
161,"""ardor""","""POSITIVE"""
162,"""articulate""","""POSITIVE"""
163,"""aspiration""","""POSITIVE"""
164,"""aspirations""","""POSITIVE"""
165,"""aspire""","""POSITIVE"""
166,"""assurance""","""POSITIVE"""
167,"""assurances""","""POSITIVE"""
168,"""assure""","""POSITIVE"""
169,"""assuredly""","""POSITIVE"""
170,"""assuring""","""POSITIVE"""
171,"""astonish""","""POSITIVE"""
172,"""astonished""","""POSITIVE"""
173,"""astonishingly""","""POSITIVE"""
174,"""astonishment""","""POSITIVE"""
175,"""astound""","""POSITIVE"""
176,"""astounded""","""POSITIVE"""
177,"""astounding""","""POSITIVE"""
178,"""astoundingly""","""POSITIVE"""
179,"""astutely""","""POSITIVE"""
180,"""attentive""","""POSITIVE"""
181,"""attraction""","""POSITIVE"""
182,"""attractively""","""POSITIVE"""
183,"""attune""","""POSITIVE"""
184,"""audible""","""POSITIVE"""
185,"""audibly""","""POSITIVE"""
186,"""auspicious""","""POSITIVE"""
187,"""authentic""","""POSITIVE"""
188,"""authoritative""","""POSITIVE"""
189,"""autonomous""","""POSITIVE"""
190,"""available""","""POSITIVE"""
191,"""aver""","""POSITIVE"""
192,"""avid""","""POSITIVE"""
193,"""avidly""","""POSITIVE"""
194,"""award""","""POSITIVE"""
195,"""awarded""","""POSITIVE"""
196,"""awards""","""POSITIVE"""
197,"""awe""","""POSITIVE"""
198,"""awed""","""POSITIVE"""
199,"""awesome""","""POSITIVE"""
200,"""awesomely""","""POSITIVE"""
201,"""awesomeness""","""POSITIVE"""
202,"""awestruck""","""POSITIVE"""
203,"""awsome""","""POSITIVE"""
204,"""backbone""","""POSITIVE"""
205,"""balanced""","""POSITIVE"""
206,"""bargain""","""POSITIVE"""
207,"""beauteous""","""POSITIVE"""
208,"""beautiful""","""POSITIVE"""
209,"""beautifullly""","""POSITIVE"""
210,"""beautifully""","""POSITIVE"""
211,"""beautify""","""POSITIVE"""
212,"""beauty""","""POSITIVE"""
213,"""beckon""","""POSITIVE"""
214,"""beckoned""","""POSITIVE"""
215,"""beckoning""","""POSITIVE"""
216,"""beckons""","""POSITIVE"""
217,"""believable""","""POSITIVE"""
218,"""believeable""","""POSITIVE"""
219,"""beloved""","""POSITIVE"""
220,"""benefactor""","""POSITIVE"""
221,"""beneficent""","""POSITIVE"""
222,"""beneficial""","""POSITIVE"""
223,"""beneficially""","""POSITIVE"""
224,"""beneficiary""","""POSITIVE"""
225,"""benefit""","""POSITIVE"""
226,"""benefits""","""POSITIVE"""
227,"""benevolence""","""POSITIVE"""
228,"""benevolent""","""POSITIVE"""
229,"""benifits""","""POSITIVE"""
230,"""best""","""POSITIVE"""
231,"""best-known""","""POSITIVE"""
232,"""best-performing""","""POSITIVE"""
233,"""best-selling""","""POSITIVE"""
234,"""better""","""POSITIVE"""
235,"""better-known""","""POSITIVE"""
236,"""better-than-expected""","""POSITIVE"""
237,"""beutifully""","""POSITIVE"""
238,"""blameless""","""POSITIVE"""
239,"""bless""","""POSITIVE"""
240,"""blessing""","""POSITIVE"""
241,"""bliss""","""POSITIVE"""
242,"""blissful""","""POSITIVE"""
243,"""blissfully""","""POSITIVE"""
244,"""blithe""","""POSITIVE"""
245,"""blockbuster""","""POSITIVE"""
246,"""bloom""","""POSITIVE"""
247,"""blossom""","""POSITIVE"""
248,"""bolster""","""POSITIVE"""
249,"""bonny""","""POSITIVE"""
250,"""bonus""","""POSITIVE"""
251,"""bonuses""","""POSITIVE"""
252,"""boom""","""POSITIVE"""
253,"""booming""","""POSITIVE"""
254,"""boost""","""POSITIVE"""
255,"""boundless""","""POSITIVE"""
256,"""bountiful""","""POSITIVE"""
257,"""brainiest""","""POSITIVE"""
258,"""brainy""","""POSITIVE"""
259,"""brand-new""","""POSITIVE"""
260,"""brave""","""POSITIVE"""
261,"""bravery""","""POSITIVE"""
262,"""bravo""","""POSITIVE"""
263,"""breakthrough""","""POSITIVE"""
264,"""breakthroughs""","""POSITIVE"""
265,"""breathlessness""","""POSITIVE"""
266,"""breathtaking""","""POSITIVE"""
267,"""breathtakingly""","""POSITIVE"""
268,"""bright""","""POSITIVE"""
269,"""brighten""","""POSITIVE"""
270,"""brighter""","""POSITIVE"""
271,"""brightest""","""POSITIVE"""
272,"""brilliance""","""POSITIVE"""
273,"""brilliances""","""POSITIVE"""
274,"""brilliant""","""POSITIVE"""
275,"""brilliantly""","""POSITIVE"""
276,"""brisk""","""POSITIVE"""
277,"""brotherly""","""POSITIVE"""
278,"""bullish""","""POSITIVE"""
279,"""buoyant""","""POSITIVE"""
280,"""cajole""","""POSITIVE"""
281,"""calm""","""POSITIVE"""
282,"""calming""","""POSITIVE"""
283,"""calmness""","""POSITIVE"""
284,"""capability""","""POSITIVE"""
285,"""capable""","""POSITIVE"""
286,"""capably""","""POSITIVE"""
287,"""captivate""","""POSITIVE"""
288,"""captivating""","""POSITIVE"""
289,"""carefree""","""POSITIVE"""
290,"""cashback""","""POSITIVE"""
291,"""cashbacks""","""POSITIVE"""
292,"""catchy""","""POSITIVE"""
293,"""celebrate""","""POSITIVE"""
294,"""celebrated""","""POSITIVE"""
295,"""celebration""","""POSITIVE"""
296,"""celebratory""","""POSITIVE"""
297,"""champ""","""POSITIVE"""
298,"""champion""","""POSITIVE"""
299,"""charisma""","""POSITIVE"""
300,"""charismatic""","""POSITIVE"""
301,"""charitable""","""POSITIVE"""
302,"""charm""","""POSITIVE"""
303,"""charming""","""POSITIVE"""
304,"""charmingly""","""POSITIVE"""
305,"""chaste""","""POSITIVE"""
306,"""cheaper""","""POSITIVE"""
307,"""cheapest""","""POSITIVE"""
308,"""cheer""","""POSITIVE"""
309,"""cheerful""","""POSITIVE"""
310,"""cheery""","""POSITIVE"""
311,"""cherish""","""POSITIVE"""
312,"""cherished""","""POSITIVE"""
313,"""cherub""","""POSITIVE"""
314,"""chic""","""POSITIVE"""
315,"""chivalrous""","""POSITIVE"""
316,"""chivalry""","""POSITIVE"""
317,"""civility""","""POSITIVE"""
318,"""civilize""","""POSITIVE"""
319,"""clarity""","""POSITIVE"""
320,"""classic""","""POSITIVE"""
321,"""classy""","""POSITIVE"""
